cik,year,FOG_MDA,FOG_Q1,FOG_Q2,FOG_Q3,FOG_Q4,Length_MDA,Length_Q1,Length_Q2,Length_Q3,Length_Q4
1800.0,2008,13.2,12.52,14.74,11.8,20.0,10407,8971,9949,8877,7703
1800.0,2010,13.47,13.95,10.23,15.42,10.84,12934,10250,8910,9860,13648
1800.0,2011,13.63,10.46,9.91,10.16,10.48,16226,9262,8435,12882,10732
1800.0,2012,13.87,9.78,12.73,12.39,9.57,14833,8862,10139,16087,12548
1800.0,2013,13.56,9.48,9.5,10.43,11.71,12528,10853,12244,12293,11382
2098.0,2010,13.57,10.06,9.53,9.27,11.99,2929,2404,2659,5275,4288
2098.0,2011,13.63,10.3,11.49,11.58,12.88,3453,2661,3622,9068,3951
2098.0,2012,13.34,10.28,9.53,11.14,11.7,3279,3605,4248,2599,1551
2098.0,2013,12.87,13.53,12.06,10.67,8.91,3273,3073,3447,3240,3065
2186.0,2011,13.11,11.28,10.01,9.89,11.08,6289,2657,3519,4666,3106
2488.0,2008,13.37,13.84,20.0,10.75,11.16,31153,6774,4067,5853,6552
2488.0,2009,12.82,11.49,11.36,9.84,10.36,27644,6591,6833,7024,6400
2488.0,2010,12.93,9.48,11.58,10.44,9.61,25560,5944,6847,6263,6760
2488.0,2011,13.56,9.77,9.49,8.59,10.01,24722,5560,6448,7981,8225
2488.0,2012,13.2,8.47,9.68,9.38,10.27,26342,8317,7510,8512,8457
2488.0,2013,13.51,10.14,11.98,9.43,10.63,25895,7481,6861,6673,12421
3116.0,2010,13.34,9.85,11.7,11.83,20.0,22610,3294,2995,3321,3865
3116.0,2011,13.58,11.48,12.05,13.33,11.41,23034,3270,3758,6562,4939
3116.0,2012,13.73,15.49,14.45,13.02,12.82,26385,4331,5150,5351,3422
3116.0,2013,13.59,13.82,10.87,12.85,12.33,27282,5421,3459,4588,6316
3197.0,2011,13.89,9.28,7.18,8.92,9.96,9792,2376,4946,4678,4174
3197.0,2012,13.97,10.56,10.31,9.0,10.55,9152,3652,4481,5046,5034
3197.0,2013,15.58,9.47,8.45,9.25,9.64,12684,4225,5043,5493,6432
3673.0,2008,17.02,11.5,10.6,11.67,10.94,23527,7549,7403,7299,8564
3673.0,2009,16.65,10.83,11.18,20.0,8.57,18610,7409,8178,10362,8634
4187.0,2011,12.82,10.32,12.46,8.37,9.16,13932,5422,2659,5349,2851
4447.0,2008,13.32,11.9,11.98,13.09,20.0,13323,2673,3195,4316,6471
4447.0,2010,14.2,9.74,9.03,9.23,8.76,19404,4652,5387,4856,6825
4447.0,2011,14.09,9.17,9.53,8.42,9.07,19292,4336,5806,7065,8009
4447.0,2012,14.5,9.28,10.69,9.55,9.9,19118,5208,7959,6402,6605
4447.0,2013,14.79,10.02,9.95,9.86,10.62,20667,7625,7358,6934,7678
4904.0,2013,12.16,9.13,10.1,9.56,9.31,32677,9130,9496,8666,10292
5981.0,2008,13.0,14.64,12.82,12.69,14.48,7165,3241,7331,7168,5791
5981.0,2009,13.28,10.86,11.88,12.47,11.13,8967,6514,5654,5546,7292
5981.0,2011,14.8,10.8,11.48,10.44,11.12,10792,6223,6079,4386,5786
5981.0,2012,14.58,10.69,10.29,10.56,10.82,11166,5141,5228,4452,6071
5981.0,2013,14.67,10.51,10.07,10.67,12.86,10084,5955,6466,5046,6810
6201.0,2008,13.21,20.0,20.0,20.0,15.43,31693,7742,6479,7423,6700
6201.0,2009,13.47,17.09,11.83,13.0,11.74,27253,6775,7181,6243,7346
6201.0,2010,13.4,12.66,14.39,13.85,11.41,29627,5951,8183,7263,7874
6292.0,2011,13.68,11.2,11.82,12.22,13.31,7846,1921,1229,1235,1619
6292.0,2012,13.65,12.16,13.54,12.02,11.29,6739,1367,2399,5537,2949
7039.0,2011,14.63,12.31,10.33,11.53,10.99,9046,4283,7814,8032,7323
7039.0,2013,15.13,15.0,10.17,9.72,9.08,9113,5373,6359,6172,8373
7084.0,2013,15.2,11.16,9.85,9.64,9.96,14781,6395,7224,7492,8453
7332.0,2008,14.49,10.25,11.48,11.74,12.26,18499,6150,10981,6640,6211
7332.0,2009,15.23,20.0,11.73,11.48,9.31,15293,2611,7124,5850,8966
7332.0,2012,14.96,8.7,9.12,10.47,9.38,14110,10307,7552,6885,7944
7332.0,2013,14.94,9.15,9.42,10.14,13.31,13539,8700,7670,11122,9574
7431.0,2008,12.57,8.91,11.12,10.8,11.68,23677,5543,5035,4280,7973
7431.0,2009,12.49,10.33,9.1,9.93,10.74,21018,5861,19179,5425,6327
7431.0,2010,11.99,10.02,10.18,10.88,10.09,17980,6376,6412,7985,11271
7431.0,2011,12.22,10.99,9.55,9.51,9.42,18563,6733,7698,11780,7692
7431.0,2012,12.81,9.31,9.62,11.96,9.46,20516,6378,7665,8000,8491
7431.0,2013,12.86,11.8,9.23,9.77,9.57,12392,7056,9577,9202,8615
7536.0,2008,14.91,20.0,13.63,20.0,17.52,13534,8403,8355,8616,4024
7536.0,2009,14.38,20.0,14.3,12.67,10.56,12810,3755,8061,7847,7741
7536.0,2010,14.64,10.54,12.88,13.45,9.52,12689,6403,7706,7829,6744
7536.0,2011,16.74,9.41,11.66,9.96,9.3,13529,7308,6648,7228,5934
7536.0,2012,16.63,12.43,13.33,11.89,9.24,13064,5906,6204,6465,6214
7536.0,2013,18.7,11.01,9.01,8.89,8.68,14322,4782,5260,4658,5628
8063.0,2011,13.59,9.19,10.63,9.51,9.57,7670,3498,4609,3175,6650
8063.0,2012,13.45,9.17,9.37,10.6,10.1,7433,6486,6146,4384,4635
8818.0,2008,14.03,12.31,10.73,11.8,20.0,17800,8223,7006,5766,5891
8868.0,2008,13.74,11.93,20.0,9.98,10.35,14366,9370,8471,8334,10161
8868.0,2010,13.56,13.56,9.91,9.28,11.28,17641,8567,8472,10569,9196
