cik,fraud,res,year
2135,0,1,2004.0
2491,0,1,2004.0
2491,0,1,2005.0
3116,0,1,2011.0
3982,0,1,2010.0
6314,1,0,2005.0
6314,0,1,2006.0
6955,0,1,2005.0
7039,0,1,2008.0
8063,0,1,2005.0
9263,0,1,2004.0
9263,0,1,2006.0
12659,0,1,2005.0
13610,0,1,2004.0
14930,0,1,2008.0
18808,0,1,2003.0
19411,0,1,2004.0
21510,0,1,2005.0
23666,1,0,2010.0
24491,0,1,2009.0
24741,0,1,2004.0
25354,0,1,2007.0
26058,0,1,2005.0
26076,0,1,2010.0
28823,0,1,2006.0
29332,0,1,2005.0
29806,0,1,2006.0
33769,0,1,2012.0
33769,0,1,2014.0
41133,0,1,2004.0
49534,0,1,2004.0
49534,1,1,2009.0
49728,0,1,2011.0
51644,0,1,2005.0
52827,0,1,2014.0
54381,0,1,2006.0
54480,0,1,2004.0
57725,0,1,2006.0
60751,0,1,2006.0
60876,0,1,2006.0
61004,0,1,2006.0
61478,0,1,2006.0
65201,0,1,2005.0
65201,1,0,2006.0
65270,0,1,2008.0
67472,0,1,2005.0
67472,1,1,2009.0
71691,0,1,2005.0
71829,0,1,2004.0
75208,0,1,2011.0
75829,0,1,2006.0
77449,0,1,2006.0
77877,0,1,2004.0
78460,0,1,2004.0
80420,0,1,2005.0
82628,0,1,2006.0
84748,0,1,2004.0
85535,0,1,2007.0
88941,0,1,2005.0
89089,0,1,2005.0
92472,0,1,2007.0
96793,0,1,2007.0
96793,0,1,2008.0
96793,0,1,2010.0
96831,0,1,2005.0
98720,0,1,2005.0
103096,0,1,2006.0
103872,0,1,2005.0
103872,0,1,2007.0
106455,0,1,2004.0
106618,0,1,2003.0
107263,0,1,2010.0
109156,0,1,2008.0
110621,0,1,2012.0
215219,1,0,2004.0
215419,0,1,2012.0
216039,0,1,2007.0
216039,0,1,2009.0
275053,0,1,2004.0
278041,0,1,2006.0
278130,0,1,2004.0
314606,0,1,2009.0
315293,0,1,2005.0
316300,0,1,2004.0
316793,0,1,2005.0
317477,0,1,2004.0
317477,0,1,2007.0
317771,0,1,2011.0
319201,0,1,2005.0
319815,0,1,2011.0
320193,0,1,2005.0
350644,0,1,2004.0
350698,0,1,2003.0
351834,0,1,2007.0
352747,0,1,2011.0
353567,0,1,2005.0
354908,0,1,2004.0
354963,0,1,2004.0
355948,0,1,2004.0
356028,0,1,2005.0
356037,0,1,2003.0
356037,0,1,2008.0
356037,0,1,2010.0
356080,0,1,2008.0
357108,0,1,2006.0
706864,0,1,2007.0
707549,0,1,2005.0
709283,0,1,2005.0
711065,0,1,2004.0
711404,0,1,2004.0
712034,0,1,2004.0
713002,0,1,2005.0
713002,0,1,2006.0
713002,0,1,2007.0
714284,0,1,2003.0
714284,0,1,2005.0
718074,0,1,2006.0
718130,0,1,2007.0
718877,0,1,2005.0
719164,0,1,2006.0
719274,0,1,2010.0
719722,0,1,2006.0
722723,0,1,2011.0
722723,1,1,2013.0
723612,0,1,2005.0
728387,0,1,2004.0
731657,0,1,2007.0
731766,0,1,2005.0
731859,0,1,2005.0
733269,0,1,2006.0
737602,0,1,2006.0
739608,0,1,2012.0
739878,0,1,2010.0
741696,0,1,2004.0
743316,0,1,2005.0
745651,0,1,2006.0
745651,0,1,2007.0
745655,0,1,2005.0
746834,0,1,2009.0
750561,0,1,2004.0
760326,0,1,2005.0
760326,0,1,2006.0
763846,0,1,2006.0
766561,0,1,2011.0
767920,0,1,2004.0
767920,0,1,2012.0
768251,0,1,2004.0
771266,0,1,2004.0
771497,0,1,2004.0
772406,0,1,2005.0
781891,0,1,2009.0
783005,0,1,2004.0
783005,0,1,2008.0
785787,0,1,2004.0
788784,0,1,2007.0
790526,0,1,2004.0
790526,0,1,2012.0
790703,0,1,2011.0
790705,0,1,2004.0
790715,0,1,2005.0
791908,0,1,2014.0
792985,0,1,2012.0
793044,0,1,2006.0
796764,0,1,2005.0
796764,0,1,2012.0
798955,0,1,2005.0
799088,0,1,2004.0
800240,0,1,2006.0
800240,0,1,2010.0
800286,1,0,2012.0
801351,1,0,2005.0
803014,0,1,2004.0
805264,0,1,2009.0
805326,0,1,2009.0
805792,1,0,2009.0
808064,0,1,2008.0
808326,0,1,2004.0
808450,0,1,2004.0
808461,0,1,2005.0
811532,0,1,2011.0
812011,0,1,2006.0
812701,0,1,2006.0
813621,0,1,2008.0
813621,0,1,2011.0
813672,0,1,2008.0
813920,0,1,2004.0
814361,0,1,2006.0
814586,0,1,2011.0
815093,0,1,2005.0
816159,0,1,2010.0
817135,0,1,2007.0
818479,0,1,2005.0
821130,0,1,2005.0
821483,0,1,2013.0
821536,0,1,2005.0
821995,0,1,2006.0
821995,0,1,2010.0
821995,0,1,2009.0
825410,0,1,2013.0
825692,0,1,2006.0
829323,0,1,2007.0
830656,0,1,2005.0
831547,0,1,2008.0
833640,0,1,2004.0
837173,0,1,2004.0
839470,0,1,2012.0
840715,0,1,2007.0
842633,0,1,2006.0
845289,0,1,2011.0
846475,0,1,2008.0
847935,0,1,2005.0
849146,0,1,2004.0
849547,0,1,2005.0
852570,0,1,2005.0
853695,0,1,2007.0
853695,0,1,2008.0
854701,0,1,2005.0
854852,1,0,2004.0
854852,0,1,2009.0
855906,0,1,2005.0
857005,1,0,2006.0
857073,0,1,2006.0
857728,0,1,2007.0
858452,0,1,2007.0
859368,0,1,2007.0
859475,0,1,2005.0
860730,0,1,2007.0
863456,0,1,2005.0
865570,0,1,2005.0
865754,0,1,2005.0
865941,0,1,2010.0
866609,0,1,2004.0
866729,0,1,2007.0
867374,0,1,2005.0
867665,0,1,2006.0
867773,1,0,2008.0
868512,0,1,2005.0
869986,0,1,2005.0
872448,0,1,2005.0
874255,0,1,2005.0
874292,0,1,2005.0
874761,0,1,2004.0
874761,0,1,2005.0
875355,0,1,2010.0
875622,0,1,2004.0
876167,0,1,2005.0
877357,0,1,2005.0
877357,0,1,2006.0
877890,0,1,2005.0
880117,0,1,2005.0
880446,0,1,2004.0
880562,0,1,2006.0
880643,0,1,2012.0
880804,0,1,2007.0
880807,0,1,2010.0
882104,0,1,2007.0
883569,0,1,2005.0
883979,0,1,2005.0
883979,0,1,2007.0
883979,0,1,2008.0
884382,0,1,2007.0
884504,0,1,2011.0
884614,0,1,2012.0
884624,0,1,2012.0
884624,0,1,2013.0
884940,0,1,2011.0
885245,0,1,2003.0
885639,0,1,2010.0
885988,0,1,2005.0
885988,0,1,2007.0
886035,0,1,2011.0
886035,1,1,2012.0
886163,0,1,2011.0
886206,0,1,2007.0
886432,0,1,2006.0
886475,0,1,2005.0
887226,0,1,2006.0
888953,0,1,2006.0
889331,0,1,2013.0
890465,0,1,2007.0
890801,0,1,2005.0
890923,1,0,2006.0
891103,0,1,2010.0
891178,0,1,2004.0
891532,0,1,2011.0
892025,0,1,2006.0
892160,0,1,2005.0
893949,0,1,2005.0
894081,0,1,2006.0
895041,0,1,2006.0
895642,0,1,2008.0
895642,0,1,2010.0
896264,0,1,2007.0
896841,0,1,2011.0
897723,0,1,2005.0
898293,0,1,2004.0
899723,0,1,2012.0
899751,0,1,2010.0
900708,0,1,2005.0
900708,0,1,2009.0
901491,0,1,2011.0
902272,0,1,2006.0
902791,0,1,2009.0
903571,0,1,2005.0
903651,0,1,2008.0
906282,0,1,2004.0
906326,0,1,2005.0
906326,0,1,2006.0
907687,0,1,2004.0
908598,0,1,2014.0
908652,0,1,2004.0
908652,0,1,2009.0
910329,0,1,2007.0
910329,0,1,2008.0
910521,0,1,2006.0
910638,0,1,2005.0
912603,0,1,2005.0
912833,0,1,2005.0
912833,0,1,2006.0
913077,0,1,2005.0
913165,0,1,2005.0
914024,0,1,2004.0
914024,0,1,2005.0
914024,0,1,2006.0
914024,0,1,2007.0
914712,0,1,2011.0
916235,0,1,2005.0
917273,0,1,2005.0
917968,0,1,2005.0
918112,0,1,2005.0
918251,0,1,2005.0
918646,0,1,2010.0
918965,0,1,2005.0
919013,0,1,2010.0
919628,0,1,2005.0
922475,0,1,2004.0
922475,0,1,2012.0
924383,0,1,2004.0
924383,0,1,2007.0
924717,0,1,2010.0
926423,0,1,2004.0
927417,0,1,2009.0
928022,0,1,2009.0
928659,0,1,2005.0
929887,0,1,2005.0
929940,0,1,2005.0
929940,0,1,2006.0
930184,0,1,2005.0
932372,0,1,2006.0
932696,0,1,2005.0
932696,0,1,2007.0
933974,0,1,2004.0
934549,0,1,2011.0
935036,0,1,2005.0
935036,0,1,2008.0
935226,0,1,2008.0
939930,0,1,2006.0
939930,0,1,2007.0
943184,0,1,2006.0
943184,0,1,2009.0
943184,0,1,2012.0
944480,0,1,2008.0
944765,0,1,2004.0
944765,0,1,2006.0
945436,0,1,2004.0
945989,0,1,2005.0
945989,0,1,2006.0
946581,0,1,2005.0
946842,0,1,2008.0
948072,0,1,2008.0
948708,0,1,2006.0
948846,0,1,2006.0
949157,0,1,2008.0
949158,0,1,2004.0
1000230,0,1,2006.0
1001385,0,1,2008.0
1001385,0,1,2010.0
1001426,0,1,2005.0
1002037,0,1,2005.0
1002531,0,1,2004.0
1003022,0,1,2004.0
1003130,0,1,2005.0
1004673,0,1,2006.0
1004724,0,1,2012.0
1005010,1,1,2007.0
1006045,0,1,2006.0
1006459,0,1,2006.0
1006892,0,1,2010.0
1007330,0,1,2006.0
1008817,0,1,2005.0
1008817,0,1,2012.0
1009304,0,1,2006.0
1009356,0,1,2013.0
1010086,0,1,2009.0
1010086,0,1,2011.0
1011064,0,1,2005.0
1011064,0,1,2007.0
1011290,0,1,2012.0
1011509,0,1,2005.0
1013880,0,1,2006.0
1014473,0,1,2004.0
1017968,1,0,2009.0
