COMPANY_FKEY,RES_NOTIF_KEY,RES_ACCOUNTING,RES_ACC_RES_FKEY_LIST,RES_FRAUD,RES_FRAUD_RES_FKEY_LIST,RES_CLER_ERR,RES_CLER_ERR_FKEY_LIST,RES_ADVERSE,RES_BEGIN_DATE,RES_END_DATE,RES_SEC_INVEST,DATE_OF_8K_402,FORM_FKEY,FILE_DATE
0000002135,9762,1,|17|39|48|,0,,0,,1,01/07/1994,31/12/2005,0,13/12/2006,8-K,06/03/2006
0000002491,10745,1,|6|,0,,0,,1,01/07/2001,30/06/2005,0,14/08/2006,Press Release,28/04/2006
0000002491,15157,1,|6|7|10|17|19|20|48|,0,,0,,0,01/07/2002,30/06/2005,0,,Press Release,05/10/2006
0000002491,22905,1,|7|19|,0,,0,,1,01/07/2002,31/12/2006,0,02/11/2007,Press Release,01/11/2007
0000002491,49957,1,|7|,0,,0,,1,01/07/2008,30/09/2008,0,,10-Q,04/11/2009
0000003116,39042,1,|10|19|45|,0,,0,,1,01/01/2011,31/03/2012,0,07/08/2012,Press Release,07/08/2012
0000003116,41222,1,|19|,0,,0,,1,01/01/2011,31/12/2011,0,,10-K,01/03/2013
0000003453,40331,1,|10|,0,,0,,1,01/01/2011,30/06/2012,0,,10-Q,08/11/2012
0000003982,16700,1,|3|9|10|45|,0,,0,,1,01/01/2004,31/03/2005,0,,10-K,15/03/2007
0000003982,35873,1,|18|,0,,0,,1,01/01/2010,31/12/2010,0,27/07/2011,8-K,27/07/2011
0000004187,23089,1,|4|12|36|,0,,0,,1,01/04/2007,30/06/2007,0,,10-Q/A,14/11/2007
0000004904,33723,1,|19|,0,,0,,1,01/01/2009,30/09/2009,0,,10-Q,01/11/2010
0000005133,36559,1,|18|,0,,0,,0,01/03/2006,31/08/2011,0,09/11/2011,8-K,09/11/2011
0000005133,46529,1,|18|,0,,0,,1,01/03/2013,28/02/2014,0,,10-Q,14/07/2014
0000005981,44497,1,|18|,0,,0,,1,01/01/2011,31/12/2011,0,,10-K,01/03/2013
0000006284,38865,1,|19|,0,,0,,1,01/08/2010,30/04/2012,0,,10-Q,08/06/2012
0000006284,44460,1,|19|,0,,0,,1,01/08/2010,31/07/2012,0,,10-K,30/09/2013
0000006314,13867,0,,1,|11|20|44|,0,,1,01/07/2005,30/09/2006,0,01/12/2006,8-K,01/12/2006
0000006314,15632,1,|10|11|13|37|44|,0,,0,,1,01/07/2003,30/06/2006,0,29/01/2007,8-K,29/01/2007
0000006314,20486,1,|11|20|44|,0,,0,,1,01/10/2006,31/03/2007,0,02/07/2007,8-K,02/07/2007
0000006314,43656,1,|4|18|,0,,0,,1,01/07/2012,30/06/2013,0,,Press Release,29/10/2013
0000006885,32054,1,|19|,0,,0,,1,01/01/2008,31/01/2009,0,,10-K,30/03/2010
0000006885,35722,1,|19|,0,,0,,1,01/02/2010,30/10/2010,0,,10-Q,09/06/2011
0000006951,53014,1,|3|10|45|46|,0,,0,,0,01/11/2006,28/10/2007,0,,10-Q,29/08/2008
0000006955,13901,1,|36|,0,,0,,1,01/09/2002,31/05/2006,1,21/11/2006,8-K,21/11/2006
0000006955,35411,1,|11|19|36|,0,,0,,1,01/09/2008,31/08/2009,0,,10-Q,08/04/2010
0000007039,31274,1,|7|11|23|,0,,0,,1,01/01/2008,31/12/2008,0,11/03/2010,8-K,11/03/2010
0000007039,42644,1,|1|6|13|,0,,0,,0,01/01/2012,31/03/2013,0,10/06/2013,8-K,10/06/2013
0000007332,41011,1,|3|,0,,0,,0,01/04/2012,30/09/2012,0,19/02/2013,10-Q/A,19/02/2013
0000007431,41364,1,|19|,0,,0,,1,01/01/2010,31/12/2011,0,,10-K,27/02/2013
