feature,fi_sapso_split,fi_sapso_gain
ARtS,123,998.9656123295426
ARtTA,69,862.5741265807301
cItS,121,2143.4216901808977
DiRI,137,447.75074444909114
DtE,168,1227.1868096254766
DCS,200,5148.54584364593
GM,46,106.76779243350029
cROE,187,2375.734634887427
ItS,95,1032.7738038529642
PA,0,0.0
PPEtTA,66,296.54786880593747
TDtTA,60,839.5615033786744
UEP,240,6059.740230064839
IStMV,130,14841.22707341336
IoAR,158,7609.318030305207
IoGMP,137,3846.281861871481
RSST,71,716.1940009680111
CiFCF,60,359.29520462453365
DTaxE,180,2267.3442791961133
PCiCM,147,898.0561841586605
SA,36,393.83329774811864
CiS,85,680.9875874333084
PCiStA,66,148.4050048023928
APCiStA,70,397.216483078897
CiSte,53,194.32695870101452
PCiStOE,39,256.2405548095703
ROA,97,3974.8334957435727
CiROA,52,432.07830092310905
APCiROA,112,455.4254528619349
APCiROE,115,1438.7334484308958
PCiROS,103,655.584324055817
APtI,77,651.3617542413849
CiAPtI,112,1198.5950889368542
PCiAPtI,43,110.47857321612537
Assets,91,8094.565234804992
CiA,63,666.1489663235843
PCiAtL,44,197.91556710004807
APCiAtL,72,207.27272038161755
APCiE,102,376.51268646493554
CiL,53,339.81718515604734
PCiL,132,1018.1876338822767
FOG_Q1,148,626.6593697089702
FOG_Q2,128,766.3696107398719
Length_MDA,205,1370.4532123198733
Length_Q2,209,2995.517838763073
Length_Q4,155,1256.851978585124
Pos_MDA,95,414.416490085423
Pos_Q2,81,391.5365324560553
Pos_Q4,74,786.2035879557952
Neg_MDA,101,354.8639936335385
Neg_Q1,105,2241.9617129205726
Neg_Q2,101,843.8185467943549
Pol_Q1,47,225.3106414368376
Sub_MDA,65,183.25977536290884
Sub_Q1,121,426.80819684267044
Topic_Q1_0,32,1375.877520084381
Topic_Q1_4,0,0.0
Topic_Q1_6,0,0.0
Topic_Q1_8,0,0.0
Topic_Q1_9,0,0.0
Topic_Q1_20,0,0.0
Topic_Q1_24,0,0.0
Topic_Q1_27,0,0.0
Topic_Q1_28,0,0.0
Topic_Q1_29,0,0.0
Topic_Q1_33,0,0.0
Topic_Q1_34,0,0.0
