cik,year,Pos_MDA,Pos_Q1,Pos_Q2,Pos_Q3,Pos_Q4,Neg_MDA,Neg_Q1,Neg_Q2,Neg_Q3,Neg_Q4,Pol_MDA,Pol_Q1,Pol_Q2,Pol_Q3,Pol_Q4,Sub_MDA,Sub_Q1,Sub_Q2,Sub_Q3,Sub_Q4
1800.0,2008,80,97,149,147,133,139,62,63,59,42,-0.2694063914638978,0.22012578477908312,0.4056603754449982,0.42718446394570647,0.5199999970285715,0.05466799798934898,0.0498276402225548,0.061663757980900596,0.0666666666450917,0.06210078067349156
1800.0,2010,127,135,142,157,209,199,48,44,81,120,-0.2208588950280402,0.4754098334677058,0.5268817175974101,0.3193277297507238,0.2705167165029887,0.06153265382002026,0.051074518545611354,0.058106841593843536,0.06706114396532513,0.06885726243849785
1800.0,2011,178,161,140,212,150,225,73,48,109,65,-0.11662530988430445,0.37606837446124625,0.48936169952467184,0.3208722731437001,0.39534883537047055,0.06023916292074153,0.06953937590801207,0.06359945870649544,0.06961613531346429,0.055960437257688594
1800.0,2012,159,123,142,291,152,187,64,82,113,79,-0.08092485525744261,0.31550801970316567,0.26785714166135205,0.44059405831536125,0.3160173146492757,0.05784018721868268,0.05668384357178423,0.06121891225438128,0.06998094576996693,0.05448113206262237
1800.0,2013,137,111,159,170,152,178,73,119,115,105,-0.13015872974552783,0.20652173800803403,0.1438848915687594,0.19298245546321946,0.1828793767203137,0.06131983646849915,0.05389572347571889,0.06899975178232819,0.07224334598929193,0.06569529650672411
2098.0,2010,27,24,17,37,48,42,22,27,52,44,-0.21739130119722752,0.04347825992438566,-0.22727272210743815,-0.16853932394899637,0.04347826039697543,0.054545454502335604,0.0653409089980953,0.058355437588388015,0.06137931030249702,0.07210031342311887
2098.0,2011,36,36,35,70,41,43,19,32,80,43,-0.08860759381509375,0.3090909034710745,0.044776118734684796,-0.06666666622222223,-0.0238095235260771,0.054295532608731586,0.07628294025480868,0.07135250258641906,0.06188118809328334,0.07440212570912123
2098.0,2012,29,26,33,18,16,43,33,48,34,25,-0.19444444174382722,-0.11864406578569381,-0.18518518289894836,-0.30769230177514806,-0.21951218976799539,0.05077574044374066,0.06385281378370908,0.07277628025806264,0.06998654095560358,0.08613445360055787
2098.0,2013,28,28,27,17,27,44,35,40,28,32,-0.2222222191358025,-0.11111110934744271,-0.19402984785030078,-0.2444444390123458,-0.08474576127549557,0.051391862918349844,0.07730061340208513,0.07346491220014813,0.053763440795981554,0.07134220063924764
2186.0,2011,61,46,80,92,53,126,44,45,59,41,-0.34759358102891136,0.022222221975308647,0.27999999776,0.21854304491031096,0.12765957311000453,0.0739422696425693,0.10688836091818485,0.11091393069129198,0.10724431810565033,0.08943862979120967
2488.0,2008,425,123,104,95,50,872,75,43,57,72,-0.34464148007352235,0.24242424119987757,0.41496598357166,0.24999999835526318,-0.18032786737436174,0.09469918223607629,0.09537572249741054,0.10130944169448004,0.08063660473175777,0.05677059094612816
2488.0,2009,420,88,127,106,112,732,79,58,43,40,-0.27083333309823493,0.0538922152461544,0.37297297095690285,0.4228187891085987,0.4736842074099723,0.09330201667665813,0.07422222218923458,0.08229537362887217,0.06218697827120744,0.07227769849154651
2488.0,2010,382,89,105,84,109,687,45,56,58,62,-0.28531337672094165,0.32835820650478953,0.3043478241965974,0.18309859025986908,0.27485379956225847,0.09332169357544114,0.06979166663031684,0.06987847219189303,0.06583217428565964,0.07654431509554865
2488.0,2011,402,84,122,140,168,646,37,51,61,64,-0.2328244272587553,0.3884297488559525,0.4104046219051756,0.39303482391524963,0.448275860136742,0.09405007627263304,0.0660841070092386,0.07567804021186438,0.07907159713647853,0.08218207577676866
2488.0,2012,414,169,116,106,156,669,36,83,87,70,-0.23545706349449946,0.6487804846400952,0.16582914489533093,0.09844559534484147,0.38053097176756207,0.0926829268213365,0.07256637165572873,0.07563664003206513,0.06708376779037756,0.07798481708834203
2488.0,2013,410,148,105,124,236,704,47,36,40,62,-0.2639138238205441,0.5179487152925707,0.48936169865700924,0.5121951188280786,0.5838926154902933,0.09725859960736348,0.07479861907372512,0.05946857863371212,0.07202459373209284,0.06893361090239795
3116.0,2010,235,40,27,28,41,483,33,29,23,31,-0.34540389924038456,0.09589040964533686,-0.03571428507653063,0.09803921376393698,0.13888888695987658,0.08291950570701934,0.0778251598317429,0.06147091101924159,0.05290456426047244,0.06164383556366109
3116.0,2011,236,51,36,84,43,447,29,39,69,52,-0.30893118549204807,0.27499999656250007,-0.03999999946666667,0.09803921504549533,-0.09473684110803325,0.07829875042092184,0.07952286274401306,0.06567425563426071,0.07292659672405787,0.06270627058567242
3116.0,2012,291,37,32,41,26,662,59,71,73,26,-0.38929695656946806,-0.22916666427951393,-0.3786407730229051,-0.28070175192366886,0.0,0.09220201237498045,0.07294832821204533,0.06265206808841114,0.06985294113366854,0.049195837228764576
3116.0,2013,310,36,34,39,87,707,73,36,44,81,-0.39036381475873766,-0.33944953817018775,-0.028571428163265314,-0.06024096312962695,0.03571428550170068,0.0948959596813571,0.06602059353966044,0.06410256404386211,0.05677154578880195,0.07615593831543249
3197.0,2011,128,52,68,85,86,166,13,39,35,26,-0.12925170024064048,0.5999999907692309,0.27102803485020527,0.4166666631944445,0.5357142809311225,0.074486952096659,0.0843060958699013,0.07195696027440689,0.08146639505670984,0.08098336942806697
3197.0,2012,125,87,88,89,100,139,37,28,26,25,-0.05303030282943067,0.4032258031997919,0.5172413748513675,0.5478260821928167,0.5999999952,0.0710250201584544,0.10499576621084185,0.08448652579425599,0.07697456487484969,0.07871536518972584
3197.0,2013,155,81,117,100,150,204,28,30,36,36,-0.13649025031618314,0.48623852764918785,0.5918367306677773,0.4705882318339101,0.612903222511273,0.07097667060676617,0.07944606408203639,0.08776119397745599,0.07825086301596612,0.08439201448076587
