,cik,year,Topic_Q1,Topic_Q2,Topic_Q3,Topic_Q4,Topic_MDA
0,1800.0,2008,0,0,0,0,-1
1,1800.0,2010,0,0,0,0,-1
2,1800.0,2011,0,0,0,0,-1
3,1800.0,2012,0,0,-1,0,-1
4,1800.0,2013,0,0,0,0,-1
5,2098.0,2010,-1,6,-1,-1,9
6,2098.0,2011,0,6,2,-1,9
7,2098.0,2012,-1,6,-1,-1,9
8,2098.0,2013,10,6,2,3,9
9,2186.0,2011,-1,-1,-1,-1,-1
10,2488.0,2008,1,5,-1,-1,3
11,2488.0,2009,1,5,1,-1,3
12,2488.0,2010,1,5,-1,-1,3
13,2488.0,2011,1,5,-1,19,3
14,2488.0,2012,1,5,1,-1,3
15,2488.0,2013,1,5,-1,-1,3
16,3116.0,2010,0,0,0,0,1
17,3116.0,2011,0,0,0,0,1
18,3116.0,2012,0,0,0,0,1
19,3116.0,2013,0,0,0,0,1
20,3197.0,2011,10,-1,-1,-1,10
21,3197.0,2012,-1,13,3,1,10
22,3197.0,2013,-1,13,-1,-1,8
23,3673.0,2008,5,4,11,4,8
24,3673.0,2009,-1,-1,4,1,8
25,4187.0,2011,-1,8,-1,7,5
26,4447.0,2008,-1,-1,3,1,0
27,4447.0,2010,-1,1,-1,1,0
28,4447.0,2011,-1,1,3,1,0
29,4447.0,2012,-1,-1,3,1,0
30,4447.0,2013,-1,1,-1,1,0
31,4904.0,2013,8,4,-1,4,8
32,5981.0,2008,16,18,14,21,6
33,5981.0,2009,16,17,14,21,6
34,5981.0,2011,16,17,14,21,6
35,5981.0,2012,16,13,14,21,6
36,5981.0,2013,16,-1,14,21,6
37,6201.0,2008,9,9,-1,-1,18
38,6201.0,2009,9,9,7,8,18
39,6201.0,2010,9,9,7,1,18
40,6292.0,2011,2,24,9,6,23
41,6292.0,2012,-1,24,9,-1,-1
42,7039.0,2011,-1,26,3,7,10
43,7039.0,2013,22,26,3,7,10
44,7084.0,2013,16,17,14,21,6
45,7332.0,2008,6,1,3,1,0
46,7332.0,2009,-1,1,3,1,0
47,7332.0,2012,6,1,3,1,0
48,7332.0,2013,6,-1,-1,1,0
49,7431.0,2008,13,25,-1,32,19
50,7431.0,2009,-1,25,-1,-1,19
51,7431.0,2010,13,-1,21,-1,19
52,7431.0,2011,13,25,21,-1,19
53,7431.0,2012,-1,-1,-1,-1,19
54,7431.0,2013,13,25,21,23,19
55,7536.0,2008,4,3,17,-1,-1
56,7536.0,2009,4,-1,-1,-1,-1
57,7536.0,2010,4,3,-1,-1,-1
58,7536.0,2011,4,-1,-1,6,-1
59,7536.0,2012,-1,3,-1,12,-1
60,7536.0,2013,-1,-1,-1,5,-1
61,8063.0,2011,9,9,6,8,18
62,8063.0,2012,9,9,7,8,18
63,8818.0,2008,-1,-1,-1,-1,-1
64,8868.0,2008,-1,-1,-1,5,9
65,8868.0,2010,-1,-1,2,-1,9
66,8868.0,2011,10,-1,-1,-1,-1
67,8868.0,2012,22,-1,-1,5,-1
68,8868.0,2013,-1,-1,-1,-1,-1
69,9092.0,2009,5,4,4,-1,15
70,9092.0,2010,5,4,4,-1,15
71,9092.0,2011,5,-1,4,34,15
72,9092.0,2012,-1,4,4,-1,15
73,9092.0,2013,5,-1,4,-1,15
74,9326.0,2011,0,-1,-1,4,6
75,9326.0,2012,0,17,0,4,6
76,9326.0,2013,0,17,14,21,6
77,9389.0,2008,11,-1,2,5,6
78,9389.0,2009,13,19,2,5,6
79,9389.0,2010,-1,19,2,5,6
80,9389.0,2011,11,19,-1,5,6
81,9389.0,2012,-1,-1,2,5,6
82,9389.0,2013,20,19,2,5,6
83,9984.0,2009,4,13,7,26,-1
84,9984.0,2010,-1,13,-1,-1,-1
85,9984.0,2011,4,-1,-1,-1,-1
86,9984.0,2012,4,13,7,-1,-1
87,9984.0,2013,-1,13,31,8,-1
88,10456.0,2010,0,28,0,0,1
89,10456.0,2011,0,0,0,0,1
90,10456.0,2012,0,0,0,0,1
91,10456.0,2013,0,0,0,0,1
92,11199.0,2008,11,19,2,5,6
93,11199.0,2009,-1,-1,-1,3,6
94,11199.0,2011,-1,-1,2,-1,6
95,11199.0,2012,-1,17,2,3,6
96,11199.0,2013,-1,17,-1,3,6
97,12208.0,2009,-1,-1,0,0,20
98,12208.0,2010,-1,0,0,0,20
99,12208.0,2011,-1,0,0,0,20
100,12208.0,2012,-1,0,0,0,20
101,12208.0,2013,0,3,0,0,20
102,12355.0,2008,-1,-1,-1,-1,3
103,12355.0,2009,-1,-1,12,-1,-1
104,12927.0,2008,9,-1,7,8,-1
105,12927.0,2009,9,10,7,8,-1
106,12927.0,2010,9,9,7,8,-1
107,12927.0,2011,9,9,7,8,-1
108,12927.0,2012,9,9,7,8,-1
109,12927.0,2013,9,9,7,8,-1
110,12978.0,2008,3,6,2,3,7
111,12978.0,2009,3,-1,2,-1,7
112,12978.0,2010,4,6,2,14,7
113,12978.0,2011,-1,6,2,3,7
114,14272.0,2010,0,0,0,0,-1
115,14272.0,2011,0,0,0,0,-1
116,14272.0,2012,0,0,0,0,1
117,14930.0,2008,-1,13,-1,-1,17
118,14930.0,2009,-1,-1,-1,18,17
119,14930.0,2010,-1,27,-1,-1,17
120,14930.0,2011,-1,7,-1,18,17
121,14930.0,2012,-1,-1,-1,-1,17
122,14930.0,2013,-1,4,-1,18,17
123,15615.0,2008,-1,-1,-1,9,-1
124,15615.0,2009,-1,-1,-1,-1,19
125,15615.0,2010,5,-1,-1,-1,8
126,15615.0,2013,-1,1,-1,-1,36
127,18169.0,2011,-1,17,-1,3,6
128,18169.0,2012,16,17,-1,-1,6
129,18396.0,2009,-1,-1,13,-1,23
130,18396.0,2010,10,-1,-1,6,23
131,18396.0,2011,-1,-1,13,-1,23
132,18396.0,2012,10,-1,-1,6,23
133,18396.0,2013,2,10,3,-1,23
134,18672.0,2010,-1,4,-1,9,8
135,18672.0,2011,-1,4,-1,4,-1
136,18808.0,2008,5,4,4,4,8
137,18808.0,2009,5,4,4,4,8
138,18808.0,2010,5,10,-1,9,8
139,18926.0,2009,1,2,1,2,-1
140,18926.0,2010,1,-1,-1,2,-1
141,18926.0,2011,1,-1,-1,2,-1
142,18926.0,2012,1,-1,-1,2,-1
143,18926.0,2013,2,-1,-1,-1,-1
144,19411.0,2008,0,0,0,0,-1
145,19411.0,2009,0,0,0,0,-1
146,19411.0,2010,0,0,0,0,-1
147,19411.0,2011,0,0,0,0,-1
148,19411.0,2012,0,0,0,0,-1
149,19411.0,2013,0,0,0,0,-1
150,19745.0,2011,-1,-1,-1,-1,-1
151,19745.0,2012,-1,-1,-1,4,-1
152,19745.0,2013,-1,-1,3,4,0
153,20212.0,2008,28,21,25,20,13
154,20212.0,2009,-1,-1,25,20,13
155,20212.0,2010,-1,-1,25,20,13
156,20212.0,2011,-1,21,25,20,13
157,20212.0,2012,-1,21,25,20,13
158,20212.0,2013,29,21,25,20,13
159,20232.0,2010,-1,-1,-1,2,3
160,20232.0,2011,7,-1,-1,13,3
161,20520.0,2009,10,-1,-1,2,4
162,20520.0,2010,33,-1,-1,-1,-1
163,20520.0,2011,-1,-1,1,-1,4
164,20520.0,2012,1,2,1,2,-1
165,20520.0,2013,1,2,1,2,-1
166,20740.0,2011,-1,-1,15,-1,6
167,20740.0,2012,20,-1,15,1,6
168,21344.0,2008,11,-1,2,-1,0
169,21344.0,2009,11,-1,-1,-1,15
170,21344.0,2010,11,-1,2,5,15
171,21344.0,2011,11,-1,2,3,15
172,21344.0,2012,10,-1,-1,-1,15
173,21344.0,2013,11,-1,2,-1,15
174,21535.0,2009,1,5,1,-1,3
175,21535.0,2010,1,5,1,-1,-1
176,21535.0,2011,1,5,1,19,-1
177,21535.0,2012,1,5,1,28,3
178,21535.0,2013,1,5,1,-1,3
