year,cik
2013,1451505
2009,97134
2009,97210
2009,50104
2009,319687
2009,97745
2009,97854
2013,928054
2009,98362
2009,98720
2009,860731
2009,100517
2013,884624
2009,757011
2009,18651
2009,100885
2009,731766
2009,1082510
2009,1090727
2013,901491
2009,355999
2009,101830
2009,750004
2009,755001
2009,352915
2009,102729
2013,903129
2009,103145
2009,103730
2009,1396009
2009,110430
2009,104918
2013,902791
2009,105770
2009,106455
2009,1159297
2009,106532
2013,907649
2009,107263
2009,783325
2013,902274
2009,318996
2009,716006
2009,763744
2009,764579
2013,354908
2009,773910
2009,1169055
2009,786947
2009,869369
2009,790070
2013,78890
2009,739944
2009,790705
2013,215419
2009,732485
2009,792977
2009,78536
2009,792985
2009,793733
2009,784977
2009,749251
2009,795403
2009,789460
2013,909724
2009,1232241
2009,45919
2009,1340786
2009,798354
2013,908598
2009,799088
2009,795551
2009,351834
2009,355777
2009,740726
2013,903651
2009,746834
2009,749660
2009,1116463
2013,908255
2009,807884
2013,891482
2009,812701
2009,1088120
2009,794323
2009,810829
2009,814361
2009,816284
2009,816956
2013,846913
2009,817135
2009,1355096
2009,352747
2009,811532
2009,813828
2013,909281
2009,799231
2009,820081
2009,59440
2009,822818
2009,819793
2009,768411
2009,1056087
2009,813621
2009,820237
2009,815556
2009,1180262
2009,820313
2009,3116
2013,1048286
2009,931015
2009,768251
2009,1038357
2009,810084
2009,823094
2009,789570
2009,823768
2013,913142
2009,1333274
2009,831259
2009,821536
2009,836106
2009,800240
2013,899723
2009,1037676
2009,910638
2009,833081
2009,920148
2009,842295
2009,928022
2009,814586
2013,906553
2009,840467
2009,839470
2009,1035002
2009,842633
2009,832101
2009,837173
2009,845289
2009,840883
2013,910521
2009,79282
2009,805326
2009,850429
2009,850693
2009,849213
2009,827809
2009,851205
2009,722723
2009,821189
2009,855612
2009,1068717
2013,889900
2009,1060009
2009,1034669
2009,760326
2009,1028153
2009,313716
2009,852772
2013,879169
2009,858452
2009,1412067
2009,858339
2009,903571
2009,858470
2013,912562
2009,945764
2009,1022705
2009,896747
2009,859368
2009,844965
2009,751978
2009,861459
2013,19745
2009,853816
2009,861361
2009,820736
2009,824142
2009,763846
2009,856982
2009,22551
2009,862480
2009,768899
2009,829608
2009,860730
2009,824068
2009,821483
2013,911147
2009,749935
2009,864233
2009,863436
2013,912767
2009,829323
2009,811240
2009,225648
2013,912750
2009,1108109
2009,872448
2009,767920
2009,873364
2009,1163302
2009,874016
2009,874015
2009,874396
2009,724606
2009,874716
2009,875355
2009,874761
2009,812191
2009,49754
2009,811596
2009,865752
2009,875320
2013,912833
2009,704415
2009,877212
2009,875045
2009,817366
2013,914139
2009,878927
2009,1040829
2009,877476
2009,879585
2009,875622
2009,879526
2009,880643
2013,913241
2009,880285
2009,879884
2009,1289945
2009,789132
2009,882095
2009,882104
2013,749647
2013,915389
2009,880984
2009,882154
2009,882835
2009,837465
2009,883293
2009,883237
2009,883945
2009,879911
2009,883984
2009,851968
2009,771266
2009,880266
2009,885725
2009,885978
2013,912513
2009,822418
2009,886035
2009,1105055
2009,886835
2009,850460
2013,910329
2009,879703
2009,813779
2009,867374
2009,890801
2009,885988
2009,891178
2009,872248
2009,1168220
2009,891288
2009,887637
2009,797465
2009,810509
2009,889423
2009,886163
2009,892553
2009,891532
2009,776325
2009,893538
2009,1196501
2009,881695
2009,875657
2009,745655
2009,891103
2009,874499
2009,894627
2009,1078207
2009,895456
2009,886136
2009,895663
2009,784199
2009,101984
2009,895642
2009,884382
2009,49071
2009,896841
2013,916085
2009,895655
2009,896622
2009,898173
2009,884887
2013,915778
2009,1122976
2009,849502
2009,898437
2009,899751
2009,1451505
2009,884624
2009,902272
2009,901491
2009,903129
2009,902791
2009,902274
2009,354908
2009,904978
2009,78890
2009,909724
2009,908598
2009,908255
2009,891482
2009,846913
2009,909281
2013,915913
2009,913142
2009,911002
2009,899723
2009,906553
2009,911649
2009,889900
2013,916529
2009,879169
2009,912562
2009,912145
2009,912767
2009,912607
2009,912750
2009,1041577
2009,901219
2009,914139
2009,913241
2009,913885
2009,915389
2013,914208
2009,912513
2009,910329
2009,914536
2013,882796
2009,916085
2009,915778
2009,916365
2009,915913
2009,916529
2009,914208
2013,917470
2009,882796
2009,917470
2009,918581
2009,917523
2009,919015
2009,885590
2009,918946
2009,881524
2009,919443
2009,906709
2013,918541
2009,919956
2009,850660
2009,892160
2009,864240
2009,890465
2009,921738
2009,920371
2013,918581
2009,921691
2009,922521
2009,948846
2009,924822
2009,926282
2009,896262
2009,924168
2009,919013
2009,908937
2009,861884
2009,884731
2009,928421
2009,925645
2009,928658
2009,853695
2009,929994
2009,932111
2009,931584
2009,931683
2009,914577
2009,931948
2009,922475
2013,917523
2009,1096376
2009,868278
2009,932696
2009,934648
2009,935036
2013,885590
2009,935494
2009,1363851
2009,899647
2009,943324
2009,944148
2009,851310
2009,914329
2009,912752
2009,944075
2009,943320
2009,944739
2009,945235
2009,1001082
2009,1172222
2009,945114
2013,918160
2009,920707
2009,943452
2009,945983
2009,945989
2009,1135185
2009,1295810
2009,930420
2009,917520
2009,892222
2013,870753
2009,893949
2009,949158
2009,1076930
2009,949039
2009,945841
2013,313927
2009,927066
2009,1037949
2009,1000228
2009,855683
2009,1000623
2009,1001288
2009,1002225
2009,927003
2009,1000697
2009,949870
2009,1001604
2009,1001902
2009,855906
2013,906709
2009,1001385
2009,1000694
2009,877890
2009,1000683
2009,1003022
2009,1003642
2009,1000229
2009,1001838
2013,919956
2009,1003130
2009,1003950
2009,4187
2009,933738
2009,1005010
2009,884269
2013,850660
2009,896778
2009,899866
2009,1005757
2009,799526
2009,887921
2009,880804
2013,892160
2009,949373
2009,1020569
2009,940942
2009,1094808
2009,1102541
2009,1006892
2009,1007330
2009,949157
2013,921503
2009,1007587
2009,1008817
2009,928340
2009,1006269
2009,931336
2013,864240
2009,1009672
2009,909494
2009,1010552
2009,1010612
2009,1009829
2009,1004608
2009,887936
2009,1012140
2009,921549
2013,890465
2009,1008654
2009,914475
2009,863680
2009,1009356
2009,913077
2009,895051
2013,20212
2013,921738
2009,1013606
2009,920448
2009,1012620
2009,1014111
2009,1013857
2009,1013934
2013,920371
2009,886744
2009,1013880
2009,899045
2009,911583
2009,1015739
2009,1016470
2009,1449732
2009,1017303
2009,861878
2013,922521
2009,897067
2009,916457
2009,831547
2009,1017968
2009,1016169
2009,1017673
2009,1019737
2009,1013488
2013,1047340
2009,1019695
2009,1019849
2009,912183
2009,1021860
2009,830656
2009,1006837
2009,1018946
2009,1021561
2009,1024657
2009,1023313
2009,1022321
2009,944508
2013,924822
2009,1022469
2009,1023131
2009,1024732
2009,1023128
2009,1000753
2009,1020214
2013,926282
2009,1026650
2009,1027207
2009,1027915
2009,845818
2009,849869
2009,1029299
2013,896262
2009,891293
2009,1029199
2009,1016546
2009,1031623
2009,1029023
2009,1019034
2009,1034755
2009,1011570
2013,922717
2009,917273
2009,912888
2009,1018724
2009,1030896
2009,1034239
2009,1036262
2013,919013
2009,1035983
2009,1389050
2009,1038133
2009,924515
2009,941604
2009,1038223
2009,1070985
2013,20232
2013,916540
2009,1037976
2009,1035884
2009,1039184
2009,1040593
2009,1040426
2013,908937
2009,1039151
2009,1043382
2009,1042783
2009,1041061
2009,917491
2009,852570
2013,861884
2009,1030484
2009,1036044
2009,70487
