,cik,year
5,1091587.0,2011
6,1091587.0,2012
7,1091587.0,2013
8,915913.0,2008
9,915913.0,2009
10,915913.0,2010
11,915913.0,2011
12,915913.0,2012
13,915913.0,2013
14,899051.0,2008
16,899051.0,2010
17,899051.0,2011
18,899051.0,2012
19,899051.0,2013
20,1018724.0,2008
21,1018724.0,2009
22,1018724.0,2010
23,1018724.0,2011
24,1018724.0,2012
25,1018724.0,2013
26,817473.0,2008
27,817473.0,2009
28,817473.0,2010
29,817473.0,2011
30,817473.0,2012
31,817473.0,2013
33,1858681.0,2012
34,1858681.0,2013
35,808362.0,2008
36,808362.0,2009
37,808362.0,2010
38,808362.0,2011
39,808362.0,2012
40,808362.0,2013
41,70858.0,2008
42,70858.0,2009
43,70858.0,2010
44,70858.0,2011
45,70858.0,2012
46,70858.0,2013
48,9622.0,2009
49,9622.0,2010
50,9622.0,2011
51,9622.0,2012
52,9622.0,2013
53,92230.0,2008
54,92230.0,2009
55,92230.0,2010
56,92230.0,2011
57,92230.0,2012
58,92230.0,2013
59,864328.0,2008
62,19392.0,2010
63,19392.0,2011
64,19392.0,2012
65,19392.0,2013
66,858877.0,2008
68,858877.0,2010
69,858877.0,2011
70,858877.0,2012
71,858877.0,2013
72,941548.0,2008
73,941548.0,2009
74,941548.0,2010
75,941548.0,2011
76,941548.0,2012
77,941548.0,2013
78,880937.0,2008
79,880937.0,2009
80,880937.0,2010
81,880937.0,2011
82,880937.0,2012
83,880937.0,2013
85,1209028.0,2010
86,1209028.0,2011
88,1209028.0,2013
89,1088142.0,2010
90,1088142.0,2011
91,1088142.0,2012
92,1088142.0,2013
93,39899.0,2008
94,39899.0,2009
95,39899.0,2010
96,39899.0,2011
97,39899.0,2012
98,39899.0,2013
103,47518.0,2008
104,47518.0,2009
106,47518.0,2011
107,47518.0,2012
108,47518.0,2013
109,50863.0,2008
110,50863.0,2009
111,50863.0,2010
112,50863.0,2011
113,50863.0,2012
114,50863.0,2013
116,1085621.0,2008
117,1085621.0,2009
119,1085621.0,2011
120,1085621.0,2012
121,1085621.0,2013
122,1083712.0,2011
124,896878.0,2009
125,896878.0,2010
126,896878.0,2011
127,896878.0,2012
128,896878.0,2013
132,1404912.0,2011
133,1404912.0,2012
134,1404912.0,2013
135,64040.0,2008
136,64040.0,2009
137,64040.0,2010
138,64040.0,2011
139,64040.0,2012
140,64040.0,2013
143,1057698.0,2011
144,1057698.0,2012
145,1057698.0,2013
147,789019.0,2008
150,789019.0,2011
151,789019.0,2012
152,789019.0,2013
154,937226.0,2010
155,937226.0,2011
156,937226.0,2012
157,937226.0,2013
158,777676.0,2008
159,777676.0,2009
160,777676.0,2010
161,777676.0,2011
162,777676.0,2012
163,777676.0,2013
165,884382.0,2009
166,884382.0,2010
168,720005.0,2008
171,720005.0,2011
172,720005.0,2012
173,720005.0,2013
174,882835.0,2008
175,882835.0,2009
176,882835.0,2010
177,882835.0,2011
178,882835.0,2012
179,882835.0,2013
180,86115.0,2008
182,86115.0,2010
183,86115.0,2011
184,86115.0,2012
185,86115.0,2013
188,906433.0,2012
189,906433.0,2013
191,1625967.0,2012
192,1625967.0,2013
196,313838.0,2011
197,313838.0,2012
198,313838.0,2013
199,1527166.0,2012
200,1527166.0,2013
206,947263.0,2011
207,947263.0,2012
208,947263.0,2013
210,30697.0,2009
211,30697.0,2010
212,30697.0,2011
213,30697.0,2012
214,30697.0,2013
